,Job Title,Location,Date,Link,Job Attributes,Job Description
29,ACCS Residential Counselor,"Marshfield, Ma",May 18,https://boston.craigslist.org/sob/npo/d/bryantville-accs-residential-counselor/7126221119.html,"
compensation: $15 Per Hour

employment type: employee's choice

non-profit organization

","

QR Code Link to This Post


  ACCS Residential Counselor Marshfield, MA Work with us at Vinfen  "
30,Sunday School Administrative Assistant,Wayland,May 17,https://boston.craigslist.org/bmw/npo/d/wayland-sunday-school-administrative/7125849803.html,"
compensation: Full year, 20 hours per week.  $15-$20/hour based on qualifications.

employment type: part-time

non-profit organization

","

QR Code Link to This Post


The Islamic Center of Boston, Wayland (ICB) was established in 1979 (1400 AH) as a nonprofit, nonsectarian religious, educational and cultural organization. Services provided by the ICB include congregational prayers, Ramadan programming, a Sunday school, Eid programs, educational lectures, and interfaith activities. ICB services the Muslim community primarily north and west of Boston, however many of our members come from all over the greater Boston area, including New Hampshire and Rhode Island. ICB’s membership includes many ethnic groups and represents Muslims from all over the world. 

An integral part of the Center’s mission, The ICB Sunday School has been in operation for over forty years. The Sunday School is dedicated to cultivating a healthy religious identity among our youth. Our mission statement says it best:

""We strive to develop confident and compassionate American Muslims who are inspired by the beauty of Islam and whose faith is a guide and source of strength in their daily lives. We are committed to providing an engaging experience that fosters a sense of community and an appreciation for diversity within an atmosphere that is inclusive, supportive, and encouraging of questions. The ideal graduate will be rooted in Islamic values, a life-long learner dedicated to serving others who continues to grow in love for God and His Prophet.""

We are seeking a dependable School Administrative Assistant who will help ensure our Sunday School programs run smoothly. This person will be responsible for orchestrating, advancing and implementing a variety of operational and administrative tasks. The ideal candidate will be someone with a high attention to detail that has similar previous experience within a religious, educational, or non-profit setting. The School Administrative Assistant works closely with and reports directly to the Director of Education and Sunday School Principals (morning and afternoon sessions).

ICB cultivates a positive, open-minded and faith-based environment. Our Sunday School is committed to continuous improvement of our children’s learning experiences. If you are organized, service oriented, and enjoy working on a variety of tasks, you may be just the person we are looking for.

KEY RESPONSIBILITIES:
• Coordination of new admissions and re-registration of existing families.
• Assist with class placements based on teachers’ recommendations and school policies.
• Management of substitute requests and related program.
• Coordination of Sunday School events, including graduation, teacher training, teacher meetings, and extra-curricular programming.
• Coordination of school technology, including school website, school management system (MSP), and coordinate with ICB IT administrators.
• Assist parents in coordinating service hours.
• Assist Director of Education and Principals in communication with teachers and parents.
• Required to be present at ICB on Sundays (9:00AM – 5:00PM) during the school year.
• Required to attend all teacher and school administration meetings.

DESIRED EXPERIENCE: • Working knowledge of Microsoft Word, Microsoft Excel, Microsoft Powerpoint, and Google Drive is required. • Experience working in cooperative team-based environment. • Experience in working with school management software systems, preferably cloud-based. • Strong written and oral communications.

This position is based in Wayland, MA and may be a work-from-home option for most days of the week, except Sundays during the academic year. This position is expected to be part-time, full  year, approximately 20 hours a week. Compensation $15-$20/hour based on qualifications.

Please email resumes through Craigsist Mail Relay.

ICB is an Equal Opportunity Employer.
"
31,Caregiver Specialist,"Waltham, MA",May 14,https://boston.craigslist.org/gbs/npo/d/waltham-caregiver-specialist/7124178622.html,"
compensation: Competitive salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a dedicated, compassionate individual to work with family caregivers. The Caregiver Specialist provides support, education, and advocacy for caregivers in identifying and obtaining services.  
Position Description:
The Caregiver Specialist is in the unique position to help those who provide care make informed decisions, solve problems, reduce stress, and maintain overall physical and emotional health. The Caregiver Specialist will meet with individual or multiple family caregivers to identify and communicate their role in the care of a loved one. Consultations with caregivers often include an assessment of care-giving needs, suggestions about resource options, and follow-up assistance.  The Caregiver Specialist will also conduct outreach and make presentations about the program as well as represent Springwell at community events.
Essential job functions include:
Conduct meetings and assessments with caregivers over the phone, at their home, in the community, or at the Springwell office.
Provide support, resources, and action planning based on the prioritized needs of the caregiver.
Collaborate and problem solve with colleagues on shared cases.
Provide follow-up and additional support as needed.
Document communication with caregivers and collaterals clearly and accurately.
Edit and revise informational materials.
Conduct community outreach and presentations about Springwell and the Caregiver Program.
Organize educational events for caregivers in the community.
Qualifications:
Bachelor's Degree required. Master's Degree in Social Work, Psychology, Counseling or related field preferred.  Social Work license preferred.
At least two years of experience working with caregivers, elders, or adults with disabilities.
Excellent organizational, interpersonal, and communication skills.
Ability to adapt to the needs of individual caregivers.
Ability to work both independently and collaboratively with co-workers, adapt to changes and problem-solve.
Ability to conduct presentations to community groups.
Benefits 
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within
Company Profile 
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1406521-143011 "
32,Direct Care Worker,Lynn,May 14,https://boston.craigslist.org/nos/npo/d/lynn-direct-care-worker/7124083290.html,"
compensation: Competitive

employment type: employee's choice

non-profit organization

","

QR Code Link to This Post


The Lynn Shelter Association believes every person deserves a place to call home. Our mission is to provide a safe environment for each individual to define and pursue their goals for independence and self-sufficiency. We work alongside individuals and families to create a supportive environment- by listening and building relationships- empowering them to define and pursue their goals. 
Lynn Shelter Association is currently seeking a Direct Care Worker for our Family Shelter. Under the general direction of the Program Director and/or House Manager this individual will provide shift coverage for the safeguarding of guests in the program.

Educational Requirements: High School diploma. 

Experience: Applicants must have experience working with people from very diverse backgrounds and experiences. 

Required Skills:
•	Ability to implement and utilize limit setting techniques and appropriate boundaries
•	Excellent communication skills, conflict resolution skills
•	Ability to work independently and relate to all levels of the organization
•	Strong interpersonal skills
•	Certified in CPR, First Aid and Narcan Training (must obtain within 6 months of hire)
•	Ability to speak, read and write English
•	Familiarity with resources, including crisis response services
•	Be able to attend all staff meetings and trainings, required for the position

Principle Responsibilities:
•	Report to the Senior Staff Member on site and supervised by Program Director
•	Screen and admit residents and visitors in accordance with established policies and procedures
•	Maintain safety and orderliness of the facility
•	Supervise guest activities and chore sharing, as needed
•	Maintain daily logs and guest files
•	Coordinate and provide routine facility maintenance, as needed
•	Assist with food prep and handling, as needed 
•	Attend all scheduled staff meeting and agency trainings
•	Perform related tasks as assigned by the program manager
•	Perform varied record keeping tasks
•	Assist with volunteers, as needed



Physical Requirements: 
The requirements described here represent what must be done to successfully perform the essential job functions. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential job functions.
•	Regularly required to sit, walk, stand, bend, and stoop to access information and materials in file cabinets shelves and closets
•	Ability to lift at least 50 pounds unassisted
•	Ability to climb three flights of stairs
•	Ability to move quickly in an emergency
•	House chores such as vacuuming, dusting, sweeping, mopping and doing house laundry (sheets, blankets, towels) is required
•	Normal range of hearing and vision is required in this position with or without correction
•	Must be able to work with background distractions
•	Frequently requires use of equipment such as telephone, copiers, computers and fax machine

Program:	Family Shelters
Classification:	Full Time/Part Time/Relief
Hours:	All Shifts

To apply please send your resume to: rh@lsahome.org    "
33,Residential Permanency Youth Counselors-     PRE-ILP,Lynn,May 14,https://boston.craigslist.org/gbs/npo/d/lynn-residential-permanency-youth/7123946036.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Pre-Independent Living Program- Lynn
Monday-Friday 8AM-5PM Full-Time (Male Candidate)

The Direct Care Staff with Centerboard's Youth Services Programs are an integral part of the residents' treatment team. All staff must be well versed in understanding, creating and maintaining a trauma-informed care and be amendable to function as a generalist in the daily care of clients and their environment. Direct Care Staff must become proficient in understanding and treating the behavioral and emotional deficits of at risk youth. They must provide safety and structure while understanding when and how to intervene and teach new, healthier responses to stress and anxiety.

*Applicants should have experience in a direct care or residential setting as well as working with youth or young 
adults in goal setting and personal development.
*Primary responsibilities include assisting residents with life skills, setting and achieving goals as well as maintaining a safe environment.
*Strong observational skills and the ability to document all aspects of resident's care and progress.
*Strong communication skills and working with minimal supervision is necessary.
*Additional duties include oversight of program residents and shift requirements.
*Applicants with residential experience or advocacy encouraged to apply.
*Centerboard offers competitive salaries and benefit packages.
*If you are looking for a flexible work environment and want to give back to youth in need, this job is for you.

Job requirements include a valid driver's license, a bachelor's degree or some college education preferred. MAP certification is required after 90 days of employment (Centerboard will assist with training & certification). Ability to pass CORI/DCF/SORI Background check. Must complete & pass 3 full days of training.

Interested and qualified applicants should apply through our website online application process by using the link below. Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
34,Residential Permanency Youth Counselors-     PRE-ILP,Lynn,May 14,https://boston.craigslist.org/nos/npo/d/lynn-residential-permanency-youth/7123943538.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Pre-Independent Living Program- Lynn
Monday-Friday 8AM-5PM Full-Time (Male Candidate)

The Direct Care Staff with Centerboard's Youth Services Programs are an integral part of the residents' treatment team. All staff must be well versed in understanding, creating and maintaining a trauma-informed care and be amendable to function as a generalist in the daily care of clients and their environment. Direct Care Staff must become proficient in understanding and treating the behavioral and emotional deficits of at risk youth. They must provide safety and structure while understanding when and how to intervene and teach new, healthier responses to stress and anxiety.

*Applicants should have experience in a direct care or residential setting as well as working with youth or young 
adults in goal setting and personal development.
*Primary responsibilities include assisting residents with life skills, setting and achieving goals as well as maintaining a safe environment.
*Strong observational skills and the ability to document all aspects of resident's care and progress.
*Strong communication skills and working with minimal supervision is necessary.
*Additional duties include oversight of program residents and shift requirements.
*Applicants with residential experience or advocacy encouraged to apply.
*Centerboard offers competitive salaries and benefit packages.
*If you are looking for a flexible work environment and want to give back to youth in need, this job is for you.

Job requirements include a valid driver's license, a bachelor's degree or some college education preferred. MAP certification is required after 90 days of employment (Centerboard will assist with training & certification). Ability to pass CORI/DCF/SORI Background check. Must complete & pass 3 full days of training.

Interested and qualified applicants should apply through our website online application process by using the link below. Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
35,Awake Overnights-Teen Living/Parenting-Melrose,Melrose,May 14,https://boston.craigslist.org/nos/npo/d/melrose-awake-overnights-teen-living/7123941568.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Awake Overnight Opportunities - Teen Living/Parenting Program

Full-Time & Part-Time Shifts:  Chelsea&Melrose (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
36,Awake Overnights-Teen Living/Parenting-Melrose,Melrose,May 14,https://boston.craigslist.org/gbs/npo/d/melrose-awake-overnights-teen-living/7123939407.html,"
compensation: Competitive Salary & Benefits.

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Awake Overnight Opportunities - Teen Living/Parenting Program

Full-Time & Part-Time Shifts:  Chelsea&Melrose (Female Candidates)

Teen Living/Parenting Program Family Advocate:
The advocates are an integral part of the client's treatment/support team who insure that services are coordinated and delivered to resident families in a comprehensive manner. All staff must be well versed in understanding, creating and maintaining a trauma-informed culture and be amenable to function as an active support in the daily care of the clients and their environment. Employees will be required to understand and work with behavioral and emotional deficits. Employees must provide a safe and structured environment while understanding how and when to intervene and TEACH new, healthier coping responses to stress and anxiety.

Seventy five percent of the TLP position includes documentation of meetings, goals, assessments, plans, intakes and any other necessary information. Each TLP employee will directly manage a case load of not more than four resident families. The TLP employee will also be responsible, either as part of the team or while alone on shift, for the safety of all residents and the facility, with requirements of reporting concerns to the necessary parties.

Essential Job Functions:
-Demonstrated understanding and ability to respond to crisis situations using the model of Trauma Informed Care, Behavior Management and/or Collaborative Proactive Solutions.
-Completing all required documentation including but not limited to: intake assessment, Bio Psycho Social, Ebed, weekly meetings, goals, progress notes, treatment plans, referrals and any concerns being addressed.
-Implement individualized treatment plans based on specific needs or goals of each client utilizing community and other available resources.
-Document all shift related reports, communication logs (filemaker), globe with details of shift related incidents or occurrences. Ensure passing on shift and client related information to the next shift.
-Responsible for the safety and security of the teens, children and the facility at all times, by providing structured activities & curriculum based groups.

Overnight specific shift requirements:
-Responsible for hourly rounds/bed checks on all residents throughout the night, insuring safe sleeping and program safety.
-Ensure hourly rounds and client status is documented.
-Clean/stock the facility and common areas.
-Provide morning transportation to youth as needed.
-Remaining awake during the entire shift is required. The appearance of sleeping is not permitted ( ie lying down, eyes closed)

COMPETENCIES AND QUALIFICATIONS:
High School Diploma required and previous experience working with youth or others in a residential setting. A bachelor's degree or some college is preferred. This position requires strong communication and organization skills. Required to pass initial competency evaluation as well as continued assessments of professional development and future trainings. Employees must have a valid driver's license with an acceptable driving record and be willing to use their personal vehicle when Centerboard's vehicles are not available to meet client transportation demands of care or outreach. Individuals are required to connect with youth with healthy relationships and positive interactions.

Centerboard offers competitive salary, great benefits, flexible schedules and a fun working environment.
Bilingual (Spanish/Portuguese) applicants are encouraged to apply.

Interested and qualified applicants should apply through our website online application process by using the link below.

https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=77ae1eae-436b-4b2a-adb1-cf708eaeee3a

To learn more about Centerboard, please visit www.centerboard.org    "
37,Quality and Compliance Manager,"Waltham, MA",May 13,https://boston.craigslist.org/gbs/npo/d/waltham-quality-and-compliance-manager/7123618539.html,"
compensation: Competitive salary

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Exciting opportunity for the unique professional who has great clinical skills and enjoys working with data.
POSITION DESCRIPTION
Springwell is seeking an individual to oversee quality assurance and improvement activities throughout the agency. The position has a variety of responsibilities that will consist of:
hands on tasks such as running and reviewing reports, and conducting record reviews, 
collaborating with Program Managers to implement and maintain systems that monitor compliance with standards, 
identifying and creating practices that improve the delivery of programs, 
providing leadership around the development and process of annual surveys and record reviews,
organizing and leading the Quality Improvement Committee,
developing an annual Quality Improvement Plan, and
tracking and analyzing data to support quality outcomes.
QUALIFICATIONS
Our ideal candidate is incredibly organized and able to balance many competing projects, flexible and able to quickly switch priorities, believes in the importance of meeting standards and is able to use data to make decisions and support recommendations.
Master's degree preferred. Bachelor's Degree required.
Experience as a Supervisor or Manager preferred.
Familiarity with community services for elders and the Massachusetts aging network preferred.
Demonstrated planning, program development and management skills.
Demonstrated leadership ability and the ability to work independently as well as part of a team.
Excellent verbal, written and computer skills.
A reliable car, current driver's license and safe driving record required.
GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
Employee referral bonuses
Free parking 
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, and welcoming environment that values each and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities. 
We believe in:
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Boston, Social Services, Social Work, Social Worker, Elder, Geriatric Care, Assisted Living, Human Services, LSW, LCSW, LICSW, Licensed, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Clinical, Supervision, Supervisor, Supervisory, Manager, Management, Public Health, Quality Assurance, Quality Improvement, Quality, Director, Compliance
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1405710-143011 "
38,Administrative Assistant,"Waltham, MA",May 13,https://boston.craigslist.org/gbs/npo/d/waltham-administrative-assistant/7123618079.html,"
compensation: Competitive pay

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a Full Time Administrative Assistant to join our Support Staff Team!
POSITION DESCRIPTION
The Administrative Assistant will provide overall administrative support for designated Springwell staff.    
Responsibilities for this position may include:
Administrative duties such as copying, filing, scanning, typing, mailing, and phone calls
Providing daily coverage for other administrative assistants and the receptionist as needed
Providing administrative support for projects, which may include compiling materials, data entry, and running reports
Maintaining cleanliness of staff lounge, common areas and meeting rooms
Assisting with scheduling, correspondence, and tracking deadlines
Performance of other office duties as requested
QUALIFICATIONS
Associates Degree or 2 years of administrative experience in an office setting preferred
Previous experience in the human services or healthcare field preferred
Ability to prioritize responsibilities and maintain flexibility with assigned tasks
A positive attitude and willingness to support others
Ability to work independently as well as part of a team 
Knowledge of computer software applications such as word processing, spreadsheets, and databases
BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/ employer contribution
Mileage reimbursement
4-day work week option for many positions
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 37 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, open environment that values the people who make a difference - each, and every member of our staff. 
We believe in: 
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Administrative Assistant, Receptionist, Support Staff, Office Administrator, Clerk, Data Entry Clerk, Receptionist/Administrative Assistant, Office Assistant, Executive Assistant, Social Services, Social Work, Care Coordinator, Elder, Geriatric Care, Assisted Living, Human Services, Medicare, Medicaid, Behavioral Health, Community Health, Long Term Care, Council on Aging, Assistant, Support
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1405686-143011 "
39,Human Resources Recruitment Coordinator,"Waltham, MA",May 13,https://boston.craigslist.org/gbs/npo/d/waltham-human-resources-recruitment/7123617743.html,"
compensation: Competitive

employment type: full-time

non-profit organization

","

QR Code Link to This Post


Springwell is seeking a Recruitment Coordinator to join our HR team! The Human Resources Recruiter will be responsible for coordinating the agency's efforts around recruitment and hiring of new personnel.
POSITION DESCRIPTION
The Human Resources Recruitment Coordinator will be responsible for coordinating the agency's efforts around hiring new employees, including posting open positions, screening resumes, conducting phone interviews, and maintaining the agency's applicant tracking system. The Recruitment Coordinator will also be involved in the onboarding process and will be responsible for overall general Human Resources support for the agency. 
QUALIFICATIONS
Bachelor's degree in Human Resources or related field.
Minimum 1 year experience in Recruitment.
Strong skills in computer programs including Microsoft Office Suite (especially Outlook and Excel) required.
Familiarity with ApplicantPro or similar applicant tracking system a plus.
The ability to handle sensitive and confidential information a must. 
Strong organizational skills, ability to shift priorities and attention to detail.
Strong verbal, written, and interpersonal skills.
A reliable car, current driver's license and safe driving record required.
 GENEROUS BENEFITS
3 weeks of vacation in first year
Birthday off
11 paid holidays
2 paid floating holidays
15 paid sick days per year (You can accumulate up to 450 hours)
Health & dental insurance with employer contribution
Life and long-term disability insurance at no cost to employee
Flexible Spending Plan
Employee Assistance Plan
401K Retirement Savings Plan w/employer contribution
Mileage reimbursement
Employee referral bonuses
Free parking
Commitment to promoting from within
COMPANY PROFILE
At Springwell, we are serious about our mission. For more than 40 years, our staff has worked to help ensure that seniors and individuals with disabilities have the village they need and the support that is necessary for them to live at home with dignity and independence.
We are also serious about our employees. We are focused on creating a supportive, and welcoming environment that values each and every member of our staff. At Springwell we are fiercely committed to creating equal opportunities for all regardless of race, color, sex, gender identity, sexual orientation, gender expression, national origin, age, language, and physical or mental disabilities. 
We believe in:
Accountability: At every level of the organization we are accountable: to the people we serve, to our funders, to our employees, to community professionals who rely on our support.
Continuous Quality Improvement: We honor the fact that each of us is human, and we embrace a desire to examine the value and quality of our work and ask how we can provide a higher quality of service.
Transparency: While we don't claim to be 100% transparent (there are certain things, like salaries and performance evaluations that are private) we continuously strive to be as open as possible.
Balance: Life is a give and take, as is work. We are always examining that balance. Today, we have yoga classes on-site twice a week. We are exploring offering a Weight Watchers meeting. And afternoon meditation is under consideration. If there is a holiday to celebrate we have a party. This year, we built a dedicated lactation room for new moms. We are committed to listening to our staff, and examining and re-balancing our work environment.
 
Keywords: Waltham, Newton, Brookline, Watertown, Belmont, Needham, Wellesley, Weston, Boston, Case Management, Social Services, Social Work, Social Worker, Elder, Geriatric Care, Human Services, Health Care, Outreach, Public Health, Human Resources, Human Resources Manager, Hiring Manager, Human Resources Generalist, Human Resources Coordinator, Human Resources Specialist, HR, Payroll, Nonprofit, Recruiter, Recruitment, Talent Acquisition.
 
If interested, please apply at https://springwell.applicantpro.com/jobs/
For more information, or to apply now, you must go to the website below. Please DO NOT email your resume to us as we only accept applications through our website.Click Here to Apply or use the link belowhttps://www.applicantpro.com/openings/springwell/jobs/1405661-143011 "
40,"Family Advocate, Head Start",Cambridge/Somerville,May 13,https://boston.craigslist.org/gbs/npo/d/somerville-family-advocate-head-start/7123507216.html,"
compensation: $33,342 annually, union, fully benefitted

employment type: full-time

non-profit organization

","

QR Code Link to This Post


The Family Advocate provides a wide range of critical supports to parents in their efforts to improve the conditions and quality of their lives, and is key to the success of families in the Head Start Program.  The work of Family Advocates enables us to assess the particular needs of each family as they enter the program, help parents set educational and social goals for themselves and their children, and track progress and outcomes against those goals.  Family Advocates are assigned a caseload of one to three classrooms, and are responsible for ongoing liaison work between parents and children, and for appropriate referrals and interventions.

1.	  Assists in the enrollment process of all families into the Head Start Program by    
          completing applications with new families coming into the office.

2.	    Maintains up-to-date Family Partnership Agreements for each assigned child and 
          family by documenting all goals and objectives set with parents and by maintaining
          all pertinent family and health follow-up information and places them in the child's file;           note progress against goals throughout the program year.

3.	Works with the Parent Resource supervisor to encourage parent participation in   committees and educational programming.

4.	Develops two-way communication with parents; shares information during home visits, telephone conversations, and other meetings as appropriate.  Uses technology as required to maintain contact with families.


5.	 Advocates for families in need of services by making appropriate referrals for
        community services and resources and by assisting parents in filling out pertinent   
        paper work to access services.

6.	   Assists in open communication within the program by participating in supervisory 
          meetings, staff meetings, and in-service trainings.

 7.      Develops and maintains professional expertise by attending meetings, conferences, 
          and trainings pending funding.

 8.      Functions as a member of the Head Start Program by carrying out the mission of  
          CAAS and the Head Start Program. 

9.  	Inputs accurate and complete information into the database on a regular basis.


QUALIFICATIONS:

Minimum: At least two years experience working with children and families, familiar with community agencies in the areas of social services. Associated Degree in Human Services, related field, or a licensed Social Worker required.  Must be proficient in computers and be able to use technology to maintain contact with and meet with families..  Must have excellent written, oral communication, and organizational skills. Ability to speak another language, Sensitive to the needs of low income and culturally, linguistically, and racially diverse populations.

"
